Ref	Designation	SpType String	SpType	J-K	J-K_unc	NStars Publication.Table	NIR Paper: New Prism Data.Table	NIR Paper: New Optical Data.Table
10006	0010001-203112	L0pec	10	1.252	0.038	4-NormalOptExcl	1-NewNIR	
20026	00325584-4405058	L0γ	10	1.507	0.05	5-WeirdOpt	1-NewNIR	2-NewOpt
20026	00325584-4405058	L0γ	10	1.507	0.05	5-WeirdOpt	1-NewNIR	2-NewOpt
20076	01415823-4633574	L0γ	10	1.735	0.054	5-WeirdOpt		
20098	02103857-3015313	L0γ	10	1.566	0.064	5-WeirdOpt	1-NewNIR	2-NewOpt
10119	0230155+270406	L0:	10	1.308	0.035	3-NormalNIR	1-NewNIR	
10125	0239424-173547	L0	10	1.252	0.045	3-NormalNIR		
10141	0241115-032658	L0γ	10	1.764	0.082	5-WeirdOpt	1-NewNIR	2-NewOpt
20156	03140344+1603056	L0	10	1.288	0.032	3-NormalNIR	1-NewNIR	
20157	03231002-4631237	L0γ	10	1.687	0.086	6-RejectedLowG	1-NewNIR	
20165	03454316+2540233	L0	10	1.325	0.036	4-NormalOptExcl	1-NewNIR	
40021	03483060+2244500	L0β	10	1.44	0.354	6-RejectedLowG	1-NewNIR	
40021	03483060+2244500	L0β	10	1.44	0.354	6-RejectedLowG	1-NewNIR	
20172	03572695-4417305	L0β	10	1.46	0.042	5-WeirdOpt	1-NewNIR	
20172	03572695-4417305	L0β	10	1.46	0.042	5-WeirdOpt	1-NewNIR	
40106	04062677-3812102	L0γ	10	1.655	0.172	6-RejectedLowG		
50078	06521977-2534505	L0	10	1.243	0.031	3-NormalNIR	1-NewNIR	
50078	06521977-2534505	L0	10	1.243	0.031	3-NormalNIR	1-NewNIR	
50078	06521977-2534505	L0	10	1.243	0.031	3-NormalNIR	1-NewNIR	
10668	0746425+200032	L0.5	10	1.291	0.03	3-NormalNIR		
50184	10221489+4114266	L0	10	1.292	0.056	3-NormalNIR		
20430	11544223-3400390	L0β	10	1.344	0.047	5-WeirdOpt	1-NewNIR	
