# 13 L2 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0015+3516_080908 	0.743864	1.77285	0.743864       2
spex_prism_1430+2915_080713 	0.572430	0.890562	0.572430       2
spex_prism_2041-3506_080908 	1.12136	1.00117	1.12136       2
U10142_0241-1241_BUR08B 	1.05694	0.450118	1.05694       2
U10244_0408-1450 	0.589327	0.759961	0.589327       2
U10390 	1.40206	0.744678	1.40206       2
U12059 	0.825713	0.444694	0.825713       2
U20298_0823+6125 	1.62739	0.462069	1.62739       2
U20307_0835+0548 	0.870754	1.31175	0.870754       2
U20552_1409-3357 	1.45445	0.850897	1.45445       2
U20694_1657+1054 	0.712825	1.01612	0.712825       2
U20866_2028+0052_BUR04B 	0.388419	0.957572	0.388419       2
U20907_2137+1450 	0.896923	1.69049	0.896923       2
