# 11 L3 dwarfs rejected from template construction because 
# reduced chi2 > 2.00000 in any band (but not full spectrum)
# Name	J chi2	H chi2	K chi2
U10151 	6.29825	6.48378	5.52492
U11694 	12.4467	10.8622	5.35729
U21005 	6.36285	2.07090	4.47805
U51591_2140+0112 	2.76994	5.60684	7.80952
spex_prism_0016-4056_080907 	3.64819	4.34135	1.90656
spex_prism_0053-3631_080907 	0.852455	1.75004	3.49845
spex_prism_0717+5705_080108 	2.69787	3.92579	3.70875
spex_prism_1539-0520_080714 	1.75727	4.50051	4.24107
spex_prism_1726+1538_080713 	9.46007	9.61779	4.27836
spex_prism_2208+2921_U40004 	11.4668	18.2479	14.7585
spex_prism_G196-3B_U40039 	28.6900	26.3998	13.1817
