Ref	Designation	J-K	J-K_unc	SpType	ST Text	NStars Publication.Table	NIR Paper: New Prism Data.Table	NIR Paper: New Optical Data.Table
10006	0010001-203112	1.252	0.038	10	L0pec	4-NormalOptExcl	1-NewNIR	
20026	00325584-4405058	1.507	0.05	10	L0γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20076	01415823-4633574	1.735	0.054	10	L0γ	5-WeirdOpt		
20098	02103857-3015313	1.566	0.064	10	L0γ	5-WeirdOpt	1-NewNIR	2-NewOpt
10119	0230155+270406	1.308	0.035	10	L0:	3-NormalNIR	1-NewNIR	
10125	0239424-173547	1.252	0.045	10	L0	3-NormalNIR		
10141	0241115-032658	1.764	0.082	10	L0γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20156	03140344+1603056	1.288	0.032	10	L0	3-NormalNIR	1-NewNIR	
20157	03231002-4631237	1.687	0.086	10	L0γ	5-WeirdOpt	1-NewNIR	
20165	03454316+2540233	1.325	0.036	10	L0	4-NormalOptExcl	1-NewNIR	
40021	03483060+2244500	1.44	0.354	10	L0β	6-RejectedLowG	1-NewNIR	
20172	03572695-4417305	1.46	0.042	10	L0β	5-WeirdOpt	1-NewNIR	
40106	04062677-3812102	1.655	0.172	10	L0γ	6-RejectedLowG		
50078	06521977-2534505	1.243	0.031	10	L0	3-NormalNIR	1-NewNIR	
10668	0746425+200032	1.291	0.03	10	L0.5	3-NormalNIR		
50184	10221489+4114266	1.292	0.056	10	L0	3-NormalNIR		
20430	11544223-3400390	1.344	0.047	10	L0β	5-WeirdOpt	1-NewNIR	
20444	12212770+0257198	1.216	0.035	10	L0	4-NormalOptExcl		
20448	12321827-0951502	1.173	0.04	10	L0	3-NormalNIR		
20487	13313310+3407583	1.448	0.035	10	L0pec	4-NormalOptExcl		2-NewOpt
11190	1404449+463429	1.281	0.042	10	L0:	3-NormalNIR	1-NewNIR	
20562	14213145+1827407	1.288	0.029	10	L0	3-NormalNIR	1-NewNIR	
20638	15525906+2948485	1.456	0.038	10	L0β	5-WeirdOpt	1-NewNIR	
51421	16360078-0034525	1.175	0.057	10	L0	3-NormalNIR		
51440	16585033+1819597	0.912000000000001	0.111	10	L0pec	4-NormalOptExcl	1-NewNIR	
11682	1707333+430130	1.35	0.04	10	L0.5pec	3-NormalNIR	1-NewNIR	
11684	1711135+232633	1.443	0.037	10	L0γ	5-WeirdOpt	1-NewNIR	2-NewOpt
51464	17224432+6329470	1.291	0.088	10	L0pec	4-NormalOptExcl	1-NewNIR	
20744	17312974+2721233	1.18	0.034	10	L0pec	4-NormalOptExcl	1-NewNIR	
12120	2213449-213607	1.62	0.052	10	L0γ	5-WeirdOpt	1-NewNIR	
12177	2310185-175909	1.407	0.041	10	L0:	3-NormalNIR	1-NewNIR	
20993	23153135+0617146	1.796	0.105	10	L0γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20999	23224684-3133231	1.253	0.036	10	L0:	4-NormalOptExcl		
51700	23312938+1552228	1.057	0.079	10	L0	3-NormalNIR		
10074	0117474-340325	1.689	0.052	11	L1v	5-WeirdOpt	1-NewNIR	2-NewOpt
10085	0141032+180450	1.383	0.038	11	L1	3-NormalNIR	1-NewNIR	
10102	0213288+444445	1.281	0.034	11	L1.5pec	4-NormalOptExcl	1-NewNIR	
10111	0219280-193841	1.2	0.043	11	L1	4-NormalOptExcl		
20114	02271036-1624479	1.43	0.038	11	L1β	5-WeirdOpt	1-NewNIR	
50185	02355993-2331205	1.484	0.17	11	L1	3-NormalNIR		
10381	0518461-275645	1.647	0.059	11	L1γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20230	05431887+6422528	1.517	0.039	11	L1	3-NormalNIR	1-NewNIR	
20236	06022216+6336391	1.583	0.038	11	L1:	3-NormalNIR	1-NewNIR	
20270	07231462+5727081	1.357	0.04	11	L1	3-NormalNIR	1-NewNIR	
