# 10 L0lg dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_1154-3400_080109 	0.768761	0.901137	0.768761       2
spex_prism_1711+2326_080713 	0.433347	0.254199	0.433347       2
spex_prism_1552+2948_080730 	0.134478	0.179532	0.134478       2
spex_prism_0357-4417_070916 	0.972453	0.857672	0.972453       2
spex_prism_0032-4405_U20026 	1.55168	1.40388	1.55168       2
U20098 	1.28270	1.55384	1.28270       2
j2213-2136prismtc1 	1.03517	0.922892	1.03517       2
spex_prism_0141-4633_040905 	0.825310	1.03933	0.825310       2
spex_prism_U10141_060821 	0.997555	0.868111	0.997555       2
spex_prism_2315+0617_U20993 	1.19998	1.24664	1.19998       2
