# 15 L1 dwarfs used for template construction because
# reduced chi2 < 2.20000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0141+1804_080907 	1.80633	0.967066	1.80633       2
spex_prism_0219-1938_080908 	1.88341	1.63545	1.88341       2
spex_prism_2034+0827_U20869 	0.864130	1.14813	0.864130       2
spex_prism_2130-0845_080713 	0.346316	0.841925	0.346316       2
spex_prism_2330-0347_080714 	0.252890	0.242446	0.252890       2
U10929 	0.595242	0.963648	0.595242       2
U11756_1807+5015 	0.883995	0.461200	0.883995       2
U12054_2057-0252 	1.52942	2.17528	1.52942       2
U12147_2238+4353 	0.707758	0.712848	0.707758       2
U20230_0543+6422 	0.753963	0.807062	0.753963       2
U20236_0602+6336 	0.526491	0.862905	0.526491       2
U20270_0723+5727 	0.593500	1.25745	0.593500       2
U20387 	0.709785	0.256595	0.709785       2
U20581_1439+1929_ajb 	2.07307	1.28004	2.07307       2
U50185_GJ1048B_0235-2331_BUR08B 	1.27983	0.726227	1.27983       2
