# 12 L1 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0141+1804_080907 	1.65301	1.17671	1.65301       2
spex_prism_2034+0827_U20869 	0.903754	1.62691	0.903754       2
spex_prism_2130-0845_080713 	0.776614	0.903224	0.776614       2
spex_prism_2330-0347_080714 	0.603086	0.389340	0.603086       2
U10929 	0.618383	0.774122	0.618383       2
U11756_1807+5015 	1.05899	0.760621	1.05899       2
U12147_2238+4353 	1.32166	1.13042	1.32166       2
U20230_0543+6422 	0.588915	1.02932	0.588915       2
U20236_0602+6336 	0.428281	1.04527	0.428281       2
U20270_0723+5727 	0.942627	1.29458	0.942627       2
U20387 	1.01265	0.499755	1.01265       2
U50185_GJ1048B_0235-2331_BUR08B 	1.24210	0.667833	1.24210       2
