Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
10006	00 10 00.1 -20 31 12	14.134	13.37	12.882	10	L0pec	Adam	IRTF	spex_prism_0010-2031_080714.fits	Sep-02	KP 4m		U10006_0010-2031.fits	No	No	No	No	Yes
20026	00 32 55.84 -44 05 05.8	14.776	13.86	13.269	10	L0γ	#Nov-07	IRTF	spex_prism_0032-4405_U20026.fits	Oct-09	Keck I	LRIS	U20026_0032-4405.fits	Yes	No	No	No	No
20076	01 41 58.23 -46 33 57.4	14.832	13.88	13.097	10	L0γ	#Adam	IRTF	spex_prism_0141-4633_040905.fits	GS-05B	GS	GMOS	U20076.fits	Yes	No	No	No	No
20098	02 10 38.57 -30 15 31.3	15.066	14.16	13.5	10	L0γ	Sep-03	IRTF no opt	U20098.fits	Oct-09	Keck I	LRIS	U20098_0210-3015.fits	Yes	No	No	No	No
10119	02 30 15.5 +27 04 06	14.294	13.48	12.986	10	L0:	Adam	IRTF	spex_prism_0230+2704_080907.fits	&Jan-02	KP 4m		U10119.fits	No	No	No	No	No
10125	02 39 42.4 -17 35 47	14.291	13.53	13.039	10	L0	Adam	IRTF	U10125_0239-1735.fits	Jan-02	CT 4m		U10125.fits	No	No	No	No	No
10141	02 41 11.5 -03 26 58	15.799	14.81	14.035	10	L0γ	#Aug-06	IRTF	spex_prism_U10141_060821.fits	Oct-09	Keck I	LRIS	U10141_0241-0326.fits	Yes	No	No	No	No
20156	03 14 03.44 +16 03 05.6	12.526	11.82	11.238	10	L0	Dec-11	IRTF	U20156_0314+1603.fits	Feb-04	KP 4m		u20156.fits	No	No	No	No	No
20157	03 23 10.02 -46 31 23.7	15.389	14.32	13.702	10	L0γ	#Nov-07	IRTF	spex_prism_0323-4631_U20157.fits	GS-04B	GS	GMOS	U20157.fits	Yes	No	No	No	No
20165	03 45 43.16 +25 40 23.3	13.997	13.21	12.672	10	L0	#Sep-03	IRTF	2M0345_L0.fits	known	Keck II	LRIS	U20165_0345+2540_lris.fits	No	No	No	No	No
40021	03 48 30.60 +22 44 50.0	17.79	16.96	16.35	10	L0β	#Dagny	IRTF	U40021_Roque25_dagny.fits	Davy	Keck	LRIS	U40021_roque25_davy.fits	Yes	No	No	No	No
20172	03 57 26.95 -44 17 30.5	14.367	13.53	12.907	10	L0β	#Adam	IRTF	spex_prism_0357-4417_070916.fits	Davy	Keck I	LRIS	U20172_0357-4417_lris.fits	Yes	No	No	Yes	No
40106	04 06 26.77 -38 12 10.2	16.768	15.71	15.113	10	L0γ	#Davy	IRTF	U40106_0406-3812.fits	Oct-09	Keck I	LRIS	U40106_0406-3812.fits	Yes	No	No	No	No
50078	06 52 19.77 -25 34 50.5	12.759	12.02	11.516	10	L0	Adam	IRTF	U50078_0652-2534_090125.fits	PhanBao08			U50078_DENIS0652-2534.fits	No	No	No	No	No
50184	10 22 14.89 +41 14 26.6	14.9	14.02	13.608	10	L0	Adam	IRTF	U50184_1022+4114_HD89744B_BUR08B.fits	Davy	Keck II	LRIS	U50184_j1022p4114_ascii_davy.fits	No	No	No	No	No
20430	11 54 42.23 -34 00 39.0	14.195	13.33	12.851	10	L0β	Adam	IRTF	spex_prism_1154-3400_080109.fits	#Davy	Keck I	LRIS	U20430_2mass1154m3400_davy.fits	Yes	No	No	No	No
20444	12 21 27.70 +02 57 19.8	13.169	12.41	11.953	10	L0	#Adam	IRTF	spex_prism_1221+0257_060411.fits	Apr-03	CT 4m		U20444.fits	No	No	No	No	No
20448	12 32 18.27 -09 51 50.2	13.727	13.07	12.554	10	L0	Adam	IRTF	U20448_1232-0951.fits	Apr-03	CT 4m		U20448.fits	No	No	No	No	No
20487	13 31 33.10 +34 07 58.3	14.333	13.40	12.885	10	L0pec	Davy	IRTF	U20487_j1331+3407prismtc1_dagny.fits	Feb-09	Keck I	LRIS	U20487_1331+3407.fits	No	No	No	No	Yes
11190	14 04 44.9 +46 34 29	14.338	13.53	13.057	10	L0:	Adam	IRTF	spex_prism_1404+4634_080713.fits	July-02	APO		U11190.fits	No	No	No	No	No
20562	14 21 31.45 +18 27 40.7	13.231	12.43	11.943	10	L0	Adam	IRTF	spex_prism_1421+1827_080730.fits	&Feb-04	KP 4m		u20562.fits	No	No	No	No	No
20638	15 52 59.06 +29 48 48.5	13.478	12.61	12.022	10	L0β	Adam	IRTF	spex_prism_1552+2948_080730.fits	Feb-04	KP 4m		u20638.fits	Yes	No	No	No	No
51421	16 36 00.78 -00 34 52.5	14.59	13.90	13.415	10	L0	Adam	IRTF	U51421_1636-0034.fits	SDSS			U51421_SDSS1636-0034.fit	No	No	No	No	No
51440	16 58 50.33 +18 19 59.7	15.484	14.91	14.572	10	L0pec	Adam	IRTF	U51440_1658+1820.fits	SDSS			U51440_SDSS1658+1820.fit	Yes	No	No	No	Yes
11684	17 11 13.5 +23 26 33	14.499	13.67	13.056	10	L0γ	Adam	IRTF	spex_prism_1711+2326_080713.fits	June-10	Keck I	LRIS	2MASS1711+2326_tell.fits	Yes	No	No	No	No
51464	17 22 44.32 +63 29 47.0	15.367	14.55	14.076	10	L0pec	Adam	IRTF	U51464_1722+6329.fits	SDSS			U51464_SDSS1722+6329.fit	Yes	No	No	No	Yes
20744	17 31 29.74 +27 21 23.3	12.094	11.39	10.914	10	L0pec	#Mar-05	IRTF	U20744.fits	Apr-03	CT 4m		U20744.fits	No	No	No	No	Yes
12120	22 13 44.9 -21 36 07	15.376	14.40	13.756	10	L0γ	Dagny	IRTF	j2213-2136prismtc1.fits	&GS-05B	GS	GMOS	U12120.fits	Yes	No	No	No	No
12177	23 10 18.5 -17 59 09	14.376	13.58	12.969	10	L0:	Adam	IRTF	spex_prism_2310-1759_080714.fits	Sep-02	KP 4m		U12177.fits	No	No	No	No	No
20993	23 15 31.35 +06 17 14.6	15.861	14.76	14.065	10	L0γ	#Nov-07	IRTF	spex_prism_2315+0617_U20993.fits	Oct-09	Keck I	LRIS	U20993_2315+0617.fits	Yes	No	No	No	No
20999	23 22 46.84 -31 33 23.1	13.577	12.79	12.324	10	L0:	Dagny	IRTF	j2322-3133prismtc1.fits	Aug-04	CT 4m		U20999.fits	Yes	No	No	No	No
