#SpType gravity min 25-quartile median mean 75-quartile max numOjbs 
L0 field 1.06 1.25 1.29 1.27 1.3 1.41 14
L0 low-g 1.34 1.46 1.57 1.58 1.71 1.8 11
L1 field 1.17 1.31 1.36 1.35 1.39 1.58 18
L1 low-g 1.34 .. .. 1.56 .. 1.69 5
L2 field 1.32 1.38 1.47 1.47 1.5 1.67 13
L2 low-g 1.91 .. .. 1.96 .. 2.0 2
L3 field 1.41 1.58 1.61 1.63 1.64 1.85 14
L3 low-g 1.65 .. .. 1.89 .. 2.01 3
L4 field 1.43 1.71 1.9 1.83 1.99 2.1 8
L4 low-g 1.93 .. .. 2.12 .. 2.48 5
L5 field 1.57 1.73 1.88 1.84 1.98 2.03 15
L6 field 1.54 1.59 1.66 1.77 1.96 2.14 9
L7 field 1.85 .. .. 2.02 .. 2.08 4
L8 field 1.47 1.69 1.72 1.69 1.76 1.8 6
